I
1200 Generated by WorldEditor 2.5.1r1

1    725 0 0 LL62 Basis Hatzerim
1302 country 
1302 gui_label 2D
1302 local_code LL62
100 34.14 1 0 0.25 0 1 0 10R  31.23235800  034.64898100 0 160 0 0 0 0 28L  31.22542200  034.67880300 0 183 2 0 0 0
100 39.93 1 0 0.25 0 1 0 10L  31.24157200  034.64603900 0 354 2 0 0 0 28R  31.23581400  034.67058900 0 30 2 0 0 0
100 22.86 1 0 0.25 0 0 0  15  31.24098100  034.64644400 0 88 2 0 0 0 33  31.22816400  034.65750300 55 73 2 0 0 0
110 1 0.25 0.0 New Taxiway 39
111  31.23243949  034.65366813 51 101
111  31.23261119  034.65293490 51 101
111  31.23328348  034.64987681 51 101
111  31.23321800  034.64966345 51 101
111  31.23292114  034.64949582 51 101
111  31.23244092  034.64933327 51 101
111  31.23235362  034.64959743 51 101
111  31.23246712  034.64954663 51 101
111  31.23272469  034.64961774 51 101
111  31.23286002  034.64976506 51 101
111  31.23282510  034.64994794 51 101
111  31.23275962  034.65008002 51 101
111  31.23265484  034.65011049 51 101
111  31.23253261  034.65009526 51 101
111  31.23234925  034.65001906 51 101
111  31.23231433  034.64992254 51 101
111  31.23230996  034.64985650 51 101
111  31.23220956  034.65026798 51 101
111  31.23237545  034.65023242 51 101
111  31.23252824  034.65028829 51 101
111  31.23266358  034.65037973 51 101
111  31.23241911  034.65166495 51 101
111  31.23255007  034.65226438 51 101
114  31.23210300  034.65396878  31.23208554  034.65398910 51 101
110 1 0.25 0.0 New Taxiway 66
112  31.23373005  034.67125549  31.23374269  034.67124961 51 101
111  31.23398522  034.67081746 51 101
111  31.23504376  034.67112614 51 101
111  31.23507408  034.67107910 51 101
111  31.23559451  034.67075572 51 101
111  31.23565009  034.67052935 51 101
111  31.23523829  034.67041176 51 101
111  31.23393722  034.66998549 51 101
111  31.23377553  034.66993258 51 101
111  31.23366689  034.66985614 51 101
113  31.23361637  034.66971209 51 101
110 1 0.30 20.0 Taxi Line
